Time on Page
19
12
44
27
137
12
55
18
711
20
10
2051
12
114
20
29
513
673
53
11
21
23
165
10
315
15
10
18
828
1225
18
42
26
416
26
6
20
31
23
1728
38
35
77
1
52
6
8
225
31
23
118
33
18
53
9
10
25
14
20
8
542
12
15
8
12
20
21
47
97
19
13
13
209
31
1
27
260
14
15
29
13
835
52
10
22
7
12
435
21
43
52
37
8
30
184
26
11
3657
44
8
157
21
21
59
11
13
7
6
17
319
29
30
5
10
12
506
20
20
4
17
528
965
51
1
473
795
540
9
4
1174
1
87
15
7
19
19
1670
8
14
289
33
5
24
10
57
7
27
22
34
31
151
73
19
13
286
29
367
6
82
10
90
32
19
14
5
15
83
16
33
6
196
396
302
9
42
37
10
1350
14
56
547
4
13
12
390
26
4
18
14
13
398
1324
30
29
31
5
6
249
26
97
9
40
35
48
152
436
105
49
8
147
22
18
115
45
31
3
21
893
6
6
12
840
30
12
14
245
37
34
37
48
14
1314
117
19
8
25
27
8
96
13
277
23
13
28
30
45
263
9
33
23
14
14
30
8
402
19
12
12
82
40
42
22
12
30
14
43
9
207
43
5
13
7
22
43
7
22
85
139
22
37
32
46
200
17
29
23
25
170
768
17
613
23
21
9
8
10
287
7
251
10
9
49
8
21
11
74
118
37
13
23
29
155
17
18
78
44
10
12
1774
18
56
36
29
7
5
15
17
9
26
7
40
3
16
10
7
8
31
19
462
130
245
18
30
3
19
74
982
67
5
27
20
9
4
44
3
33
7
17
19
8
149
87
27
67
47
14
8
14
780
1
8
15
2
18
19
9
16
15
22
31
7
189
22
30
26
31
11
42
23
33
177
19
150
1003
97
32
22
13
9
1
13
15
9
78
136
462
11
10
545
10
16
42
35
159
131
14
8
38
32
43
18
1
29
15
33
9
12
19
12
28
68
60
60
13
21
20
10
43
29
122
80
19
6
41
129
79
45
76
54
144
10
10
594
30
24
10
35
159
14
66
28
7
539
392
21
10
5
23
42
7
507
13
7
7
49
91
14
154
4
13
387
6
68
55
1258
30
902
15
35
7
43
13
155
269
9
13
328
1
